run_id,model,provider,k,input_tokens,output_tokens,total_tokens,calls,converged,structural_warnings,density,stale_failed_marker,AIC,BIC,CAIC,SABIC,SRMSR,structural_n_errors,tsqe_cell_agreement,expert_cell_agreement,RMSEA2
b2_cot_google_gemini-3-5-flash_auto_run7,google/gemini-3.5-flash,openrouter,5,8937,5822,14759,2,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b2_cot_google_gemini-3-5-flash_auto_run8,google/gemini-3.5-flash,openrouter,5,8937,5822,14759,2,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b2_cot_google_gemini-3-5-flash_auto_run9,google/gemini-3.5-flash,openrouter,5,8232,4958,13190,2,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b2_cot_gpt-5-5-2026-04-23_auto_run1,gpt-5.5-2026-04-23,openai,4,1922,6099,8021,1,True,3,0.575,False,8905.1931,9440.7099,9565.7099,9043.9187,0.0515,0,0.7125,0.925,0.0449
b2_cot_gpt-5-5-2026-04-23_auto_run10,gpt-5.5-2026-04-23,openai,5,1922,4984,6906,1,True,4,0.56,False,9025.6814,9869.6559,10066.6559,9244.313,0.043,0,0.7,0.92,0.0428
b2_cot_gpt-5-5-2026-04-23_auto_run2,gpt-5.5-2026-04-23,openai,5,1922,5560,7482,1,True,3,0.41,False,9093.2021,9628.7189,9753.7189,9231.9277,0.0633,0,0.75,0.9,0.0609
b2_cot_gpt-5-5-2026-04-23_auto_run3,gpt-5.5-2026-04-23,openai,5,1922,4964,6886,1,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b2_cot_gpt-5-5-2026-04-23_auto_run4,gpt-5.5-2026-04-23,openai,5,1922,6938,8860,1,True,3,0.58,False,9074.026,10029.388,10252.388,9321.5125,0.0522,0,0.66,0.9,
b2_cot_gpt-5-5-2026-04-23_auto_run5,gpt-5.5-2026-04-23,openai,5,1922,6134,8056,1,True,3,0.55,False,9029.6064,9865.0126,10060.0126,9246.0184,0.0519,0,0.69,0.93,0.0304
b2_cot_gpt-5-5-2026-04-23_auto_run6,gpt-5.5-2026-04-23,openai,5,1922,4463,6385,1,True,3,0.55,False,9029.6064,9865.0126,10060.0126,9246.0184,0.0519,0,0.69,0.93,0.0123
b2_cot_gpt-5-5-2026-04-23_auto_run7,gpt-5.5-2026-04-23,openai,5,1922,5455,7377,1,True,4,0.42,False,9151.3841,9695.4691,9822.4691,9292.3293,0.0795,0,0.76,0.89,0.0573
b2_cot_gpt-5-5-2026-04-23_auto_run8,gpt-5.5-2026-04-23,openai,5,1922,4858,6780,1,True,3,0.51,False,9050.3318,9791.487,9964.487,9242.328,0.063,0,0.69,0.95,0.0536
b2_cot_gpt-5-5-2026-04-23_auto_run9,gpt-5.5-2026-04-23,openai,4,1922,6477,8399,1,True,2,0.6125,False,9005.4268,9609.4897,9750.4897,9161.9093,0.0657,0,0.7,0.95,0.0419
